date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:38:19	864178/864178	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-d2fb2%22	https://transvelo.github.io/electro-html/2.0/html/home/index.html	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/html/home/index.html	(from )
09:38:19	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2267b63b87-239b%22	https://transvelo.github.io/robots.txt		(from )
09:38:20	11715/11715	---M--	200	added ('OK')	image/png	etag:%225ee893c0-2dc3%22	https://transvelo.github.io/electro-html/2.0/favicon.png	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/favicon.png	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:20	55115/55115	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-d74b%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/font-awesome/css/fontawesome-all.min.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/font-awesome/css/fontawesome-all.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:20	3227/3227	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-c9b%22	https://transvelo.github.io/electro-html/2.0/assets/css/font-electro.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/css/font-electro.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:20	57997/57997	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-e28d%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/animate.css/animate.min.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/animate.css/animate.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:20	4058/4058	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-fda%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/hs-megamenu/src/hs.megamenu.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/hs-megamenu/src/hs.megamenu.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:21	54850/54850	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-d642%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/malihu-custom-scrollbar-plugin/jquery.mCustomScrollbar.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:21	18303/18303	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-477f%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/fancybox/jquery.fancybox.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/fancybox/jquery.fancybox.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:21	1895/1895	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-767%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/slick-carousel/slick/slick.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/slick-carousel/slick/slick.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:21	9808/9808	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-2650%22	https://transvelo.github.io/electro-html/2.0/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/vendor/bootstrap-select/dist/css/bootstrap-select.min.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:21	774986/774986	---M-Z	200	added ('OK')	text/css	etag:W/%225ee893c0-bd34a%22	https://transvelo.github.io/electro-html/2.0/assets/css/theme.css	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/css/theme.css	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:22	232808/232808	---M-Z	200	added ('OK')	text/html	etag:W/%225ee893c0-38d68%22	https://transvelo.github.io/electro-html/2.0/html/home/contact-v2.html	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/html/home/contact-v2.html	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:22	881/881	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-371%22	https://transvelo.github.io/electro-html/2.0/assets/img/75X75/img1.jpg	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/img/75X75/img1.jpg	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
09:38:22	608/608	---M--	200	added ('OK')	image/jpeg	etag:%225ee893c0-260%22	https://transvelo.github.io/electro-html/2.0/assets/img/75X75/img2.jpg	C:/Users/hungs/Desktop/xin%20theme/transvelo.github.io/electro-html/2.0/assets/img/75X75/img2.jpg	(from https://transvelo.github.io/electro-html/2.0/html/home/index.html)
